name,description,price,compare_at_price,image_url,sizes,colors,stock,featured,sku,slug,additional_info,tags
Athletic Performance Shorts,"Lightweight performance shorts with moisture-wicking technology",39.99,49.99,https://images.unsplash.com/photo-1562886877-79de4e5a20f0,"[""S"",""M"",""L"",""XL""]","[{""name"":""Black"",""hex"":""#000000""},{""name"":""Navy"",""hex"":""#000080""},{""name"":""Gray"",""hex"":""#808080""}]",85,true,SHORTS-001,athletic-performance-shorts,"{""material"":""88% Polyester 12% Spandex"",""care"":""Machine wash cold"",""features"":""Quick-dry fabric, 7 inch inseam""}","shorts,athletic,performance"
Premium Leather Wallet,"Handcrafted genuine leather wallet with multiple card slots",59.99,79.99,https://images.unsplash.com/photo-1627123424574-724758594e93,,"{""name"":""Brown"",""hex"":""#8B4513""}",50,false,WALLET-001,premium-leather-wallet,"{""material"":""Genuine Leather"",""dimensions"":""4.5 x 3.5 inches"",""features"":""6 card slots, 2 bill compartments""}","wallet,leather,accessories"
Wireless Bluetooth Earbuds,"True wireless earbuds with noise cancellation and long battery life",129.99,149.99,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f41,,"{""name"":""White"",""hex"":""#FFFFFF""},{""name"":""Black"",""hex"":""#000000""}",35,true,EARBUD-001,wireless-bluetooth-earbuds,"{""battery"":""Up to 8 hours (24 with case)"",""features"":""Active noise cancellation, water resistant"",""connectivity"":""Bluetooth 5.0""}","earbuds,wireless,electronics"
Yoga Mat Premium,"Extra thick yoga mat with alignment markings and non-slip surface",45.99,59.99,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f,,"{""name"":""Purple"",""hex"":""#800080""},{""name"":""Blue"",""hex"":""#0000FF""},{""name"":""Teal"",""hex"":""#008080""}",60,false,YOGA-001,yoga-mat-premium,"{""material"":""TPE eco-friendly foam"",""dimensions"":""72 x 24 inches, 6mm thick"",""features"":""Alignment markings, non-slip surface, carrying strap""}","yoga,fitness,mat"
Stainless Steel Water Bottle,"Vacuum insulated water bottle that keeps drinks cold for 24 hours",34.99,44.99,https://images.unsplash.com/photo-1602143407151-7111542de6e8,,"{""name"":""Silver"",""hex"":""#C0C0C0""},{""name"":""Black"",""hex"":""#000000""},{""name"":""Blue"",""hex"":""#0000FF""}",75,true,BOTTLE-001,stainless-steel-water-bottle,"{""material"":""18/8 Stainless Steel"",""capacity"":""24 oz"",""features"":""Double-wall vacuum insulation, leak-proof cap""}","water bottle,stainless steel,hydration"
Organic Cotton Baby Onesie,"Soft, organic cotton onesie with snap closures for easy diaper changes",19.99,24.99,https://images.unsplash.com/photo-1522771930-78848d9293e8,"[""0-3m"",""3-6m"",""6-9m"",""9-12m""]","{""name"":""White"",""hex"":""#FFFFFF""},{""name"":""Gray"",""hex"":""#808080""},{""name"":""Sage"",""hex"":""#9CAF88""}",100,false,ONESIE-001,organic-cotton-baby-onesie,"{""material"":""100% Organic Cotton"",""care"":""Machine wash gentle, tumble dry low"",""features"":""Snap closures, envelope neckline""}","baby,onesie,organic"
Ceramic Pour Over Coffee Maker,"Handcrafted ceramic pour over coffee dripper with wood collar",49.99,64.99,https://images.unsplash.com/photo-1544787219-7f47ccb76574,,"{""name"":""White"",""hex"":""#FFFFFF""},{""name"":""Black"",""hex"":""#000000""}",40,false,COFFEE-001,ceramic-pour-over-coffee-maker,"{""material"":""Ceramic with wood collar"",""capacity"":""1-3 cups"",""includes"":""Coffee dripper, glass carafe""}","coffee,pour over,kitchen"
Vintage Style Desk Lamp,"Adjustable metal desk lamp with vintage design",79.99,99.99,https://images.unsplash.com/photo-1543198126-a8ad8e47fb22,,"{""name"":""Brass"",""hex"":""#B5A642""},{""name"":""Black"",""hex"":""#000000""}",30,true,LAMP-001,vintage-style-desk-lamp,"{""material"":""Metal with brass finish"",""dimensions"":""16 inches height, 8 inch base"",""features"":""Adjustable arm, rotating head, inline switch""}","lamp,desk,home decor"
Leather Crossbody Bag,"Compact leather crossbody bag with adjustable strap",89.99,109.99,https://images.unsplash.com/photo-1590874103328-eac38a683ce7,,"{""name"":""Tan"",""hex"":""#D2B48C""},{""name"":""Black"",""hex"":""#000000""},{""name"":""Burgundy"",""hex"":""#800020""}",45,true,BAG-001,leather-crossbody-bag,"{""material"":""Genuine leather"",""dimensions"":""9 x 6 x 2 inches"",""features"":""Adjustable strap, interior pockets, magnetic closure""}","bag,crossbody,leather"
Smart WiFi Indoor Camera,"1080p HD indoor security camera with two-way audio and motion detection",69.99,89.99,https://images.unsplash.com/photo-1582139329536-e7284fece509,,"{""name"":""White"",""hex"":""#FFFFFF""},{""name"":""Black"",""hex"":""#000000""}",50,false,CAMERA-001,smart-wifi-indoor-camera,"{""resolution"":""1080p HD"",""features"":""Two-way audio, night vision, motion detection"",""connectivity"":""WiFi, smartphone app""}","camera,security,smart home" 